#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
cpe003.nextpolish.fasta	contig_3_np1212	165410	165979	-	IncHI1B_1_pNDM-MAR	1-570/570	===============	0/0	100	100	plasmidfinder	JN420336	IncHI1B_1_pNDM-MAR_JN420336	
cpe003.nextpolish.fasta	contig_3_np1212	267564	268002	-	IncFIB(Mar)_1_pNDM-Mar	1-439/439	===============	0/0	100	99.54	plasmidfinder	JN420336	IncFIB(Mar)_1_pNDM-Mar_JN420336	
cpe003.nextpolish.fasta	contig_4_np1212	11780	12000	+	IncFII_1_pKP91	10-230/230	===============	0/0	96.09	96.83	plasmidfinder	CP000966	IncFII_1_pKP91_CP000966	
cpe004.nextpolish.fasta	2_np1212	208	646	-	IncFIB(Mar)_1_pNDM-Mar	1-439/439	===============	0/0	100	99.54	plasmidfinder	JN420336	IncFIB(Mar)_1_pNDM-Mar_JN420336	
cpe004.nextpolish.fasta	2_np1212	171788	172357	-	IncHI1B_1_pNDM-MAR	1-570/570	===============	0/0	100	100	plasmidfinder	JN420336	IncHI1B_1_pNDM-MAR_JN420336	
cpe004.nextpolish.fasta	3_np1212	78905	79125	+	IncFII_1_pKP91	10-230/230	===============	0/0	96.09	96.83	plasmidfinder	CP000966	IncFII_1_pKP91_CP000966	
cpe009.nextpolish.fasta	contig_2_np1212	7670	7799	+	ColRNAI_1	1-130/130	===============	0/0	100	100	plasmidfinder	DQ298019	ColRNAI_1__DQ298019	
cpe009.nextpolish.fasta	contig_2_np1212	16966	17095	+	ColRNAI_1	1-130/130	===============	0/0	100	100	plasmidfinder	DQ298019	ColRNAI_1__DQ298019	
cpe009.nextpolish.fasta	contig_3_np1212	333	993	+	IncL/M(pOXA-48)_1_pOXA-48	1-661/661	===============	0/0	100	100	plasmidfinder	JN626286	IncL/M(pOXA-48)_1_pOXA-48_JN626286	
cpe010.nextpolish.fasta	2_np1212	208	646	-	IncFIB(Mar)_1_pNDM-Mar	1-439/439	===============	0/0	100	99.54	plasmidfinder	JN420336	IncFIB(Mar)_1_pNDM-Mar_JN420336	
cpe010.nextpolish.fasta	2_np1212	101957	102526	-	IncHI1B_1_pNDM-MAR	1-570/570	===============	0/0	100	99.3	plasmidfinder	JN420336	IncHI1B_1_pNDM-MAR_JN420336	
cpe010.nextpolish.fasta	3_np1212	45	461	+	IncA/C2_1	1-417/417	===============	0/0	100	100	plasmidfinder	JN157804	IncA/C2_1__JN157804	
cpe010.nextpolish.fasta	4_np1212	300	859	-	IncFIB(K)_1_Kpn3	1-560/560	===============	0/0	100	98.93	plasmidfinder	JN233704	IncFIB(K)_1_Kpn3_JN233704	
cpe010.nextpolish.fasta	5_np1212	22808	23058	-	IncR_1	1-251/251	===============	0/0	100	99.2	plasmidfinder	DQ449578	IncR_1__DQ449578	
cpe010.nextpolish.fasta	5_np1212	114133	114370	+	IncFII_1_pKP91	1-230/230	========/======	03-Aug	100	87.39	plasmidfinder	CP000966	IncFII_1_pKP91_CP000966	
cpe010.nextpolish.fasta	6_np1212	245	374	-	ColRNAI_1	1-130/130	===============	0/0	100	99.23	plasmidfinder	DQ298019	ColRNAI_1__DQ298019	
cpe010.nextpolish.fasta	7_np1212	4662	4774	+	Col440I_1	1-114/114	========/======	01-Jan	99.12	93.86	plasmidfinder	CP023920.1	Col440I_1__CP023920.1	
cpe010.nextpolish.fasta	8_np1212	16	297	+	Col440II_1	1-282/282	===============	0/0	100	97.52	plasmidfinder	CP023921.1	Col440II_1__CP023921.1	
cpe010.nextpolish.fasta	9_np1212	2775	2885	-	Col440I_1	1-111/114	===============	0/0	97.37	88.29	plasmidfinder	CP023920.1	Col440I_1__CP023920.1	
cpe012.nextpolish.fasta	contig_2_np1212	8462	9143	+	IncFIB(AP001918)_1	1-682/682	===============	0/0	100	98.39	plasmidfinder	AP001918	IncFIB(AP001918)_1__AP001918	
cpe012.nextpolish.fasta	contig_2_np1212	75273	75533	-	IncFII(pAMA1167-NDM-5)_1_pAMA1167-NDM-5	1-261/261	===============	0/0	100	100	plasmidfinder	CP024805.1	IncFII(pAMA1167-NDM-5)_1_pAMA1167-NDM-5_CP024805.1	
cpe012.nextpolish.fasta	contig_2_np1212	115916	116303	-	IncFIA_1	1-388/388	===============	0/0	100	99.74	plasmidfinder	AP001918	IncFIA_1__AP001918	
cpe012.nextpolish.fasta	contig_3_np1212	87317	87733	-	IncA/C2_1	1-417/417	===============	0/0	100	100	plasmidfinder	JN157804	IncA/C2_1__JN157804	
cpe012.nextpolish.fasta	contig_5_np1212	117	234	+	ColRNAI_1	1-118/130	==============.	0/0	90.77	88.98	plasmidfinder	DQ298019	ColRNAI_1__DQ298019	
cpe013.nextpolish.fasta	2_np1212	300	859	-	IncFIB(K)_1_Kpn3	1-560/560	===============	0/0	100	98.93	plasmidfinder	JN233704	IncFIB(K)_1_Kpn3_JN233704	
cpe013.nextpolish.fasta	2_np1212	98235	98461	-	IncFII_1_pKP91	10-230/230	========/======	02-Jun	96.09	88.55	plasmidfinder	CP000966	IncFII_1_pKP91_CP000966	
cpe013.nextpolish.fasta	3_np1212	51757	52496	-	IncFIB(pQil)_1_pQil	1-740/740	===============	0/0	100	100	plasmidfinder	JN233705	IncFIB(pQil)_1_pQil_JN233705	
cpe013.nextpolish.fasta	3_np1212	117656	117894	+	IncFII_1_pKP91	1-230/230	========/======	04-Sep	100	87.87	plasmidfinder	CP000966	IncFII_1_pKP91_CP000966	
cpe013.nextpolish.fasta	4_np1212	1046	1159	+	Col440I_1	1-114/114	===============	0/0	100	92.11	plasmidfinder	CP023920.1	Col440I_1__CP023920.1	
cpe013.nextpolish.fasta	5_np1212	413	603	+	ColpVC_1	1-191/193	===============	0/0	98.96	96.33	plasmidfinder	JX133088	ColpVC_1__JX133088	
cpe014.nextpolish.fasta	contig_5_np1212	23832	24571	-	IncFIB(pQil)_1_pQil	1-740/740	===============	0/0	100	100	plasmidfinder	JN233705	IncFIB(pQil)_1_pQil_JN233705	
cpe014.nextpolish.fasta	contig_5_np1212	89731	89969	+	IncFII_1_pKP91	1-230/230	========/======	04-Sep	100	87.87	plasmidfinder	CP000966	IncFII_1_pKP91_CP000966	
cpe015.nextpolish.fasta	contig_2_np1212	65475	65725	-	IncR_1	1-251/251	===============	0/0	100	100	plasmidfinder	DQ449578	IncR_1__DQ449578	
cpe015.nextpolish.fasta	contig_3_np1212	34294	34770	-	IncN3_1	1-477/477	===============	0/0	100	100	plasmidfinder	EF219134	IncN3_1__EF219134	
cpe018.nextpolish.fasta	contig_1_np1212	1090220	1091198	+	pENTAS02_1	1-979/979	===============	0/0	100	96.02	plasmidfinder	CP003028	pENTAS02_1__CP003028	
cpe018.nextpolish.fasta	contig_2_np1212	99728	99956	-	IncFII(Yp)_1_Yersenia	1-230/230	========/======	01-Jan	99.57	99.13	plasmidfinder	CP000670	IncFII(Yp)_1_Yersenia_CP000670	
cpe018.nextpolish.fasta	contig_3_np1212	672	954	+	Col440II_1	2-281/282	========/======	01-Mar	99.29	87.63	plasmidfinder	CP023921.1	Col440II_1__CP023921.1	
cpe018.nextpolish.fasta	contig_3_np1212	1545	1675	+	ColRNAI_1	1-130/130	========/======	01-Jan	100	84.73	plasmidfinder	DQ298019	ColRNAI_1__DQ298019	
cpe018.nextpolish.fasta	contig_3_np1212	5650	5932	+	Col440II_1	2-281/282	========/======	01-Mar	99.29	87.63	plasmidfinder	CP023921.1	Col440II_1__CP023921.1	
cpe018.nextpolish.fasta	contig_3_np1212	6523	6653	+	ColRNAI_1	1-130/130	========/======	01-Jan	100	84.73	plasmidfinder	DQ298019	ColRNAI_1__DQ298019	
cpe018.nextpolish.fasta	contig_4_np1212	104796	105670	-	IncFIB(pHCM2)_1_pHCM2	1-875/875	===============	0/0	100	97.6	plasmidfinder	AL513384	IncFIB(pHCM2)_1_pHCM2_AL513384	
cpe020.nextpolish.fasta	2_np1212	45	461	+	IncA/C2_1	1-417/417	===============	0/0	100	100	plasmidfinder	JN157804	IncA/C2_1__JN157804	
cpe020.nextpolish.fasta	3_np1212	115241	115382	+	IncI1_1_Alpha	1-142/142	===============	0/0	100	100	plasmidfinder	AP005147	IncI1_1_Alpha_AP005147	
cpe020.nextpolish.fasta	4_np1212	1	603	+	IncFIB(AP001918)_1	80-682/682	.==============	0/0	88.42	98.51	plasmidfinder	AP001918	IncFIB(AP001918)_1__AP001918	
cpe020.nextpolish.fasta	4_np1212	43365	43861	+	IncFIC(FII)_1	1-499/499	========/======	01-Feb	99.6	95.59	plasmidfinder	AP001918	IncFIC(FII)_1__AP001918	
cpe020.nextpolish.fasta	5_np1212	514	644	-	ColRNAI_1	1-130/130	========/======	01-Jan	100	89.31	plasmidfinder	DQ298019	ColRNAI_1__DQ298019	
cpe021.nextpolish.fasta	contig_2_np1212	111306	111935	-	IncHI2A_1	1-630/630	===============	0/0	100	100	plasmidfinder	BX664015	IncHI2A_1__BX664015	
cpe021.nextpolish.fasta	contig_2_np1212	125589	126183	+	RepA_1_pKPC-CAV1321	2-596/596	========/======	02-Feb	99.66	80.37	plasmidfinder	CP011611	RepA_1_pKPC-CAV1321_CP011611	
cpe021.nextpolish.fasta	contig_2_np1212	126801	127127	+	IncHI2_1	1-327/327	===============	0/0	100	100	plasmidfinder	BX664015	IncHI2_1__BX664015	
cpe021.nextpolish.fasta	contig_3_np1212	1963	2091	+	ColRNAI_1	1-128/130	========/======	01-Jan	98.46	82.95	plasmidfinder	DQ298019	ColRNAI_1__DQ298019	
cpe022.nextpolish.fasta	contig_2_np1212	139993	140562	-	IncHI1B_1_pNDM-MAR	1-570/570	===============	0/0	100	100	plasmidfinder	JN420336	IncHI1B_1_pNDM-MAR_JN420336	
cpe022.nextpolish.fasta	contig_2_np1212	242147	242585	-	IncFIB(Mar)_1_pNDM-Mar	1-439/439	===============	0/0	100	99.54	plasmidfinder	JN420336	IncFIB(Mar)_1_pNDM-Mar_JN420336	
cpe022.nextpolish.fasta	contig_3_np1212	50881	51101	-	IncFII_1_pKP91	10-230/230	===============	0/0	96.09	96.83	plasmidfinder	CP000966	IncFII_1_pKP91_CP000966	
cpe022.nextpolish.fasta	contig_4_np1212	3576	3705	-	ColRNAI_1	1-130/130	========/======	02-Feb	99.23	85.5	plasmidfinder	DQ298019	ColRNAI_1__DQ298019	
cpe022.nextpolish.fasta	contig_5_np1212	1084	1214	-	ColRNAI_1	1-130/130	========/======	01-Jan	100	87.02	plasmidfinder	DQ298019	ColRNAI_1__DQ298019	
cpe023.nextpolish.fasta	contig_2_np1212	13850	14350	-	IncFIC(FII)_1	1-499/499	========/======	04-Apr	99.8	84.66	plasmidfinder	AP001918	IncFIC(FII)_1__AP001918	
cpe023.nextpolish.fasta	contig_2_np1212	53577	54258	-	IncFIB(AP001918)_1	1-682/682	===============	0/0	100	98.53	plasmidfinder	AP001918	IncFIB(AP001918)_1__AP001918	
cpe023.nextpolish.fasta	contig_2_np1212	61874	62261	+	IncFIA_1	1-388/388	===============	0/0	100	99.74	plasmidfinder	AP001918	IncFIA_1__AP001918	
cpe023.nextpolish.fasta	contig_5_np1212	1116	1377	+	Col(MG828)_1	1-262/262	===============	0/0	100	93.13	plasmidfinder	NC_008486	Col(MG828)_1__NC_008486	
cpe024.nextpolish.fasta	contig_2_np1212	44540	44676	-	IncI_Gamma_1	5-141/141	===============	0/0	97.16	100	plasmidfinder	AP011954	IncI_Gamma_1_AP011954	
cpe024.nextpolish.fasta	contig_3_np1212	11814	12201	-	IncFIA_1	1-388/388	===============	0/0	100	99.74	plasmidfinder	AP001918	IncFIA_1__AP001918	
cpe024.nextpolish.fasta	contig_3_np1212	41377	42058	+	IncFIB(AP001918)_1	1-682/682	===============	0/0	100	97.65	plasmidfinder	AP001918	IncFIB(AP001918)_1__AP001918	
cpe024.nextpolish.fasta	contig_3_np1212	111638	111898	+	IncFII(pRSB107)_1_pRSB107	1-261/261	===============	0/0	100	100	plasmidfinder	AJ851089	IncFII(pRSB107)_1_pRSB107_AJ851089	
cpe024.nextpolish.fasta	contig_5_np1212	2290	2605	-	IncI2_1_Delta	1-316/316	===============	0/0	100	98.42	plasmidfinder	AP002527	IncI2_1_Delta_AP002527	
cpe025.nextpolish.fasta	contig_10_np1212	98	227	-	ColRNAI_1	1-130/130	========/======	02-Feb	99.23	87.02	plasmidfinder	DQ298019	ColRNAI_1__DQ298019	
cpe025.nextpolish.fasta	contig_2_np1212	46394	47054	-	IncL/M(pOXA-48)_1_pOXA-48	1-661/661	===============	0/0	100	100	plasmidfinder	JN626286	IncL/M(pOXA-48)_1_pOXA-48_JN626286	
cpe025.nextpolish.fasta	contig_3_np1212	59557	59786	-	IncFII(Yp)_1_Yersenia	1-230/230	===============	0/0	100	99.56	plasmidfinder	CP000670	IncFII(Yp)_1_Yersenia_CP000670	
cpe025.nextpolish.fasta	contig_3_np1212	130843	131485	+	IncFIB(pB171)_1_pB171	1-643/643	===============	0/0	100	91.45	plasmidfinder	AB024946	IncFIB(pB171)_1_pB171_AB024946	
cpe025.nextpolish.fasta	contig_5_np1212	1385	1515	-	ColRNAI_1	1-130/130	========/======	01-Jan	100	84.73	plasmidfinder	DQ298019	ColRNAI_1__DQ298019	
cpe026.nextpolish.fasta	2_np1212	37429	37816	-	IncFIA_1	1-388/388	===============	0/0	100	99.74	plasmidfinder	AP001918	IncFIA_1__AP001918	
cpe026.nextpolish.fasta	2_np1212	66992	67673	+	IncFIB(AP001918)_1	1-682/682	===============	0/0	100	97.65	plasmidfinder	AP001918	IncFIB(AP001918)_1__AP001918	
cpe026.nextpolish.fasta	2_np1212	132874	133134	+	IncFII(pRSB107)_1_pRSB107	1-261/261	===============	0/0	100	100	plasmidfinder	AJ851089	IncFII(pRSB107)_1_pRSB107_AJ851089	
cpe026.nextpolish.fasta	4_np1212	60248	60528	+	IncI2_1_Delta	1-281/316	==============.	0/0	88.92	98.22	plasmidfinder	AP002527	IncI2_1_Delta_AP002527	
cpe026.nextpolish.fasta	7.5_np1212	58937	59073	+	IncI_Gamma_1	5-141/141	===============	0/0	97.16	100	plasmidfinder	AP011954	IncI_Gamma_1_AP011954	
cpe027.nextpolish.fasta	2_np1212	217	956	+	IncFIB(pQil)_1_pQil	1-740/740	===============	0/0	100	100	plasmidfinder	JN233705	IncFIB(pQil)_1_pQil_JN233705	
cpe027.nextpolish.fasta	2_np1212	59202	59440	-	IncFII_1_pKP91	1-230/230	========/======	04-Sep	100	87.87	plasmidfinder	CP000966	IncFII_1_pKP91_CP000966	
cpe027.nextpolish.fasta	3_np1212	1	603	+	IncFIB(AP001918)_1	80-682/682	.==============	0/0	88.42	98.51	plasmidfinder	AP001918	IncFIB(AP001918)_1__AP001918	
cpe027.nextpolish.fasta	3_np1212	16660	16773	-	Col440I_1	1-114/114	===============	0/0	100	91.23	plasmidfinder	CP023920.1	Col440I_1__CP023920.1	
cpe027.nextpolish.fasta	3_np1212	24007	24267	+	IncFII_1	1-261/261	===============	0/0	100	100	plasmidfinder	AY458016	IncFII_1__AY458016	
cpe027.nextpolish.fasta	3_np1212	89878	90265	-	IncFIA_1	1-388/388	===============	0/0	100	99.74	plasmidfinder	AP001918	IncFIA_1__AP001918	
cpe027.nextpolish.fasta	4_np1212	669	948	+	ColKP3_1	1-280/280	===============	0/0	100	100	plasmidfinder	JN205800	ColKP3_1__JN205800	
cpe027.nextpolish.fasta	5_np1212	261	390	+	ColRNAI_1	1-130/130	========/======	02-Feb	99.23	86.26	plasmidfinder	DQ298019	ColRNAI_1__DQ298019	
cpe028.nextpolish.fasta	contig_3_np1212	120940	121075	+	IncI1_1_Alpha	1-136/142	===============	0/0	95.77	93.38	plasmidfinder	AP005147	IncI1_1_Alpha_AP005147	
cpe028.nextpolish.fasta	contig_4_np1212	12137	12797	+	IncL/M(pOXA-48)_1_pOXA-48	1-661/661	===============	0/0	100	100	plasmidfinder	JN626286	IncL/M(pOXA-48)_1_pOXA-48_JN626286	
cpe029.nextpolish.editcontig5.fasta	contig_2_np1212	37920	38170	+	IncR_1	1-251/251	===============	0/0	100	99.6	plasmidfinder	DQ449578	IncR_1__DQ449578	
cpe029.nextpolish.editcontig5.fasta	contig_4_np1212	91037	91275	-	IncFII_1_pKP91	1-230/230	========/======	04-Sep	100	86.61	plasmidfinder	CP000966	IncFII_1_pKP91_CP000966	
cpe029.nextpolish.editcontig5.fasta	contig_4_np1212	192763	193322	-	IncFIB(K)_1_Kpn3	1-560/560	===============	0/0	100	98.93	plasmidfinder	JN233704	IncFIB(K)_1_Kpn3_JN233704	
cpe029.nextpolish.editcontig5.fasta	contig_5_np1212	3728	4388	-	IncL/M(pOXA-48)_1_pOXA-48	1-661/661	===============	0/0	100	100	plasmidfinder	JN626286	IncL/M(pOXA-48)_1_pOXA-48_JN626286	
cpe029.nextpolish.editcontig5.fasta	contig_6_np1212	828	937	-	Col440I_1	1-110/114	===============	0/0	96.49	90	plasmidfinder	CP023920.1	Col440I_1__CP023920.1	
cpe029.nextpolish.editcontig5.fasta	contig_6_np1212	5245	5354	-	Col440I_1	1-110/114	===============	0/0	96.49	90	plasmidfinder	CP023920.1	Col440I_1__CP023920.1	
cpe029.nextpolish.editcontig5.fasta	contig_7_np1212	4244	4356	-	Col440I_1	1-114/114	========/======	01-Jan	99.12	93.86	plasmidfinder	CP023920.1	Col440I_1__CP023920.1	
cpe029.nextpolish.editcontig5.fasta	contig_8_np1212	3954	4067	-	Col440I_1	1-114/114	===============	0/0	100	92.11	plasmidfinder	CP023920.1	Col440I_1__CP023920.1	
cpe029.nextpolish.editcontig5.fasta	contig_8_np1212	9074	9187	-	Col440I_1	1-114/114	===============	0/0	100	92.11	plasmidfinder	CP023920.1	Col440I_1__CP023920.1	
cpe029.nextpolish.fasta	contig_2_np1212	37920	38170	+	IncR_1	1-251/251	===============	0/0	100	99.6	plasmidfinder	DQ449578	IncR_1__DQ449578	
cpe029.nextpolish.fasta	contig_4_np1212	91037	91275	-	IncFII_1_pKP91	1-230/230	========/======	04-Sep	100	86.61	plasmidfinder	CP000966	IncFII_1_pKP91_CP000966	
cpe029.nextpolish.fasta	contig_4_np1212	192763	193322	-	IncFIB(K)_1_Kpn3	1-560/560	===============	0/0	100	98.93	plasmidfinder	JN233704	IncFIB(K)_1_Kpn3_JN233704	
cpe029.nextpolish.fasta	contig_5_np1212	3728	4388	-	IncL/M(pOXA-48)_1_pOXA-48	1-661/661	===============	0/0	100	100	plasmidfinder	JN626286	IncL/M(pOXA-48)_1_pOXA-48_JN626286	
cpe029.nextpolish.fasta	contig_5_np1212	67317	67977	-	IncL/M(pOXA-48)_1_pOXA-48	1-661/661	===============	0/0	100	100	plasmidfinder	JN626286	IncL/M(pOXA-48)_1_pOXA-48_JN626286	
cpe029.nextpolish.fasta	contig_6_np1212	828	937	-	Col440I_1	1-110/114	===============	0/0	96.49	90	plasmidfinder	CP023920.1	Col440I_1__CP023920.1	
cpe029.nextpolish.fasta	contig_6_np1212	5245	5354	-	Col440I_1	1-110/114	===============	0/0	96.49	90	plasmidfinder	CP023920.1	Col440I_1__CP023920.1	
cpe029.nextpolish.fasta	contig_7_np1212	4244	4356	-	Col440I_1	1-114/114	========/======	01-Jan	99.12	93.86	plasmidfinder	CP023920.1	Col440I_1__CP023920.1	
cpe029.nextpolish.fasta	contig_8_np1212	3954	4067	-	Col440I_1	1-114/114	===============	0/0	100	92.11	plasmidfinder	CP023920.1	Col440I_1__CP023920.1	
cpe029.nextpolish.fasta	contig_8_np1212	9074	9187	-	Col440I_1	1-114/114	===============	0/0	100	92.11	plasmidfinder	CP023920.1	Col440I_1__CP023920.1	
cpe031.nextpolish.fasta	tig00000004_np1212	46328	46897	+	IncHI1B_1_pNDM-MAR	1-570/570	===============	0/0	100	100	plasmidfinder	JN420336	IncHI1B_1_pNDM-MAR_JN420336	
cpe031.nextpolish.fasta	tig00000004_np1212	243990	244428	+	IncFIB(Mar)_1_pNDM-Mar	1-439/439	===============	0/0	100	99.54	plasmidfinder	JN420336	IncFIB(Mar)_1_pNDM-Mar_JN420336	
cpe031.nextpolish.fasta	tig00000005_np1212	40756	40993	+	IncFII_1_pKP91	1-230/230	========/======	03-Aug	100	87.39	plasmidfinder	CP000966	IncFII_1_pKP91_CP000966	
cpe031.nextpolish.fasta	tig00000005_np1212	103135	103694	+	IncFIB(K)_1_Kpn3	1-560/560	===============	0/0	100	100	plasmidfinder	JN233704	IncFIB(K)_1_Kpn3_JN233704	
cpe031.nextpolish.fasta	tig00000006_np1212	32090	32310	+	IncFII_1_pKP91	10-230/230	===============	0/0	96.09	96.83	plasmidfinder	CP000966	IncFII_1_pKP91_CP000966	
cpe033.nextpolish.fasta	2_np1212	164038	164476	+	IncFIB(Mar)_1_pNDM-Mar	1-439/439	===============	0/0	100	99.54	plasmidfinder	JN420336	IncFIB(Mar)_1_pNDM-Mar_JN420336	
cpe033.nextpolish.fasta	2_np1212	267261	267830	+	IncHI1B_1_pNDM-MAR	1-570/570	===============	0/0	100	100	plasmidfinder	JN420336	IncHI1B_1_pNDM-MAR_JN420336	
cpe033.nextpolish.fasta	3_np1212	31032	31269	+	IncFII_1_pKP91	1-230/230	========/======	03-Aug	100	87.39	plasmidfinder	CP000966	IncFII_1_pKP91_CP000966	
cpe033.nextpolish.fasta	3_np1212	93496	94055	+	IncFIB(K)_1_Kpn3	1-560/560	===============	0/0	100	100	plasmidfinder	JN233704	IncFIB(K)_1_Kpn3_JN233704	
cpe033.nextpolish.fasta	4_np1212	76995	77215	+	IncFII_1_pKP91	10-230/230	===============	0/0	96.09	96.83	plasmidfinder	CP000966	IncFII_1_pKP91_CP000966	
cpe034.nextpolish.fasta	2_np1212	208	646	-	IncFIB(Mar)_1_pNDM-Mar	1-439/439	===============	0/0	100	99.54	plasmidfinder	JN420336	IncFIB(Mar)_1_pNDM-Mar_JN420336	
cpe034.nextpolish.fasta	2_np1212	197740	198309	-	IncHI1B_1_pNDM-MAR	1-570/570	===============	0/0	100	100	plasmidfinder	JN420336	IncHI1B_1_pNDM-MAR_JN420336	
cpe034.nextpolish.fasta	3_np1212	300	859	-	IncFIB(K)_1_Kpn3	1-560/560	===============	0/0	100	100	plasmidfinder	JN233704	IncFIB(K)_1_Kpn3_JN233704	
cpe034.nextpolish.fasta	3_np1212	63086	63323	-	IncFII_1_pKP91	1-230/230	========/======	03-Aug	100	87.39	plasmidfinder	CP000966	IncFII_1_pKP91_CP000966	
cpe034.nextpolish.fasta	4_np1212	76995	77215	+	IncFII_1_pKP91	10-230/230	===============	0/0	96.09	96.83	plasmidfinder	CP000966	IncFII_1_pKP91_CP000966	
cpe035.nextpolish.fasta	contig_1_np1212	43075	43513	+	IncFIB(Mar)_1_pNDM-Mar	1-439/439	===============	0/0	100	99.54	plasmidfinder	JN420336	IncFIB(Mar)_1_pNDM-Mar_JN420336	
cpe035.nextpolish.fasta	contig_1_np1212	144980	145549	+	IncHI1B_1_pNDM-MAR	1-570/570	===============	0/0	100	100	plasmidfinder	JN420336	IncHI1B_1_pNDM-MAR_JN420336	
cpe035.nextpolish.fasta	contig_3_np1212	7421	7658	-	IncFII_1_pKP91	1-230/230	========/======	03-Aug	100	87.39	plasmidfinder	CP000966	IncFII_1_pKP91_CP000966	
cpe035.nextpolish.fasta	contig_3_np1212	98742	99301	-	IncFIB(K)_1_Kpn3	1-560/560	===============	0/0	100	100	plasmidfinder	JN233704	IncFIB(K)_1_Kpn3_JN233704	
cpe035.nextpolish.fasta	contig_9_np1212	7696	7916	-	IncFII_1_pKP91	10-230/230	===============	0/0	96.09	96.83	plasmidfinder	CP000966	IncFII_1_pKP91_CP000966	
cpe036.nextpolish.fasta	contig_3_np1212	101752	102002	+	IncR_1	1-251/251	===============	0/0	100	100	plasmidfinder	DQ449578	IncR_1__DQ449578	
cpe036.nextpolish.fasta	contig_4_np1212	43513	43989	-	IncN3_1	1-477/477	===============	0/0	100	100	plasmidfinder	EF219134	IncN3_1__EF219134	
cpe038.nextpolish.fasta	2_np1212	149209	149596	+	IncFIA(HI1)_1_HI1	1-388/388	===============	0/0	100	94.33	plasmidfinder	AF250878	IncFIA(HI1)_1_HI1_AF250878	
cpe038.nextpolish.fasta	2_np1212	233995	234188	+	IncFII_1_pKP91	1-194/230	=============..	0/0	84.35	100	plasmidfinder	CP000966	IncFII_1_pKP91_CP000966	
cpe038.nextpolish.fasta	5_np1212	114	231	-	ColRNAI_1	13-130/130	.=======/======	02-Feb	90	84.03	plasmidfinder	DQ298019	ColRNAI_1__DQ298019	
cpe040.nextpolish.fasta	contig_2_np1212	4938	5091	-	Col156_1	1-154/154	===============	0/0	100	94.81	plasmidfinder	NC_009781	Col156_1__NC_009781	
