#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
cpe001.nextpolish.fasta	tig00000001_np1212	4830191	4831366	-	oqxA_1	1-1176/1176	===============	0/0	100	99.23	resfinder	EU370913	oqxA	Nalidixic_acid;Ciprofloxacin
cpe001.nextpolish.fasta	tig00000008_np1212	8929	9741	-	blaNDM-1_1	1-813/813	===============	0/0	100	100	resfinder	FN396876	blaNDM-1	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Ceftazidime;Ertapenem;Imipenem;Meropenem;Piperacillin;Piperacillin+Tazobactam
cpe001.nextpolish.fasta	tig00000008_np1212	12174	12953	-	aph(3')-VI_1	1-780/780	===============	0/0	100	100	resfinder	KC170992	aph(3')-VI	Amikacin
cpe001.nextpolish.fasta	tig00000008_np1212	18261	19145	-	mph(E)_1	1-885/885	===============	0/0	100	99.89	resfinder	DQ839391	mph(E)	Erythromycin
cpe001.nextpolish.fasta	tig00000008_np1212	19201	20676	-	msr(E)_1	1-1476/1476	===============	0/0	100	100	resfinder	FR751518	msr(E)	
cpe001.nextpolish.fasta	tig00000008_np1212	22975	23748	-	armA_1	1-774/774	===============	0/0	100	100	resfinder	AY220558	armA	Amikacin;Gentamicin;Tobramycin
cpe001.nextpolish.fasta	tig00000008_np1212	27093	27959	-	sul1_5	1-867/867	===============	0/0	100	99.89	resfinder	EU780013	sul1	Sulfamethoxazole
cpe001.nextpolish.fasta	tig00000008_np1212	30490	31356	-	sul1_5	1-867/867	===============	0/0	100	99.89	resfinder	EU780013	sul1	Sulfamethoxazole
cpe001.nextpolish.fasta	tig00000008_np1212	31834	32635	-	aadA2_1	18-819/819	===============	0/0	97.92	99.88	resfinder	NC_010870	aadA2	Streptomycin
cpe001.nextpolish.fasta	tig00000008_np1212	33033	33530	-	dfrA12_8	1-498/498	===============	0/0	100	100	resfinder	AM040708	dfrA12	Trimethoprim
cpe001.nextpolish.fasta	tig00000008_np1212	160265	161140	-	blaCTX-M-15_1	1-876/876	===============	0/0	100	100	resfinder	AY044436	blaCTX-M-15	Amoxicillin;Ampicillin;Aztreonam;Cefepime;Cefotaxime;Ceftazidime;Ceftriaxone;Piperacillin;Ticarcillin
cpe001.nextpolish.fasta	tig00000008_np1212	163962	164567	+	aac(6')-Ib_1	1-606/606	===============	0/0	100	100	resfinder	M21682	aac(6')-Ib	Amikacin;Tobramycin
cpe001.nextpolish.fasta	tig00000008_np1212	165240	166100	+	blaTEM-1A_1	1-861/861	===============	0/0	100	100	resfinder	HM749966	blaTEM-1A	Amoxicillin;Ampicillin;Cephalothin;Piperacillin;Ticarcillin
cpe001.nextpolish.fasta	tig00000008_np1212	167385	168569	+	tet(D)_1	1-1185/1185	===============	0/0	100	100	resfinder	AF467077	tet(D)	Doxycycline;Tetracycline
cpe001.nextpolish.fasta	tig00000008_np1212	176433	176915	-	dfrA14_5	1-483/483	===============	0/0	100	99.59	resfinder	DQ388123	dfrA14	Trimethoprim
cpe001.nextpolish.fasta	tig00000008_np1212	179955	180785	-	blaOXA-1_1	1-831/831	===============	0/0	100	100	resfinder	HQ170510	blaOXA-1	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefepime;Piperacillin;Piperacillin+Tazobactam
cpe001.nextpolish.fasta	tig00000008_np1212	180916	181515	-	aac(6')-Ib-cr_1	1-600/600	===============	0/0	100	100	resfinder	DQ303918	aac(6')-Ib-cr	Ciprofloxacin
cpe001.nextpolish.fasta	tig00000008_np1212	186787	187431	+	qnrB1_1	1-645/645	===============	0/0	100	100	resfinder	DQ351241	qnrB1	Ciprofloxacin
cpe001.nextpolish.fasta	tig00000008_np1212	312008	312820	-	blaNDM-1_1	1-813/813	===============	0/0	100	100	resfinder	FN396876	blaNDM-1	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Ceftazidime;Ertapenem;Imipenem;Meropenem;Piperacillin;Piperacillin+Tazobactam
cpe001.nextpolish.fasta	tig00000008_np1212	322174	322986	-	blaNDM-1_1	1-813/813	===============	0/0	100	100	resfinder	FN396876	blaNDM-1	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Ceftazidime;Ertapenem;Imipenem;Meropenem;Piperacillin;Piperacillin+Tazobactam
cpe001.nextpolish.fasta	tig00000008_np1212	332339	333151	-	blaNDM-1_1	1-813/813	===============	0/0	100	100	resfinder	FN396876	blaNDM-1	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Ceftazidime;Ertapenem;Imipenem;Meropenem;Piperacillin;Piperacillin+Tazobactam
cpe001.nextpolish.fasta	tig00000008_np1212	342505	343317	-	blaNDM-1_1	1-813/813	===============	0/0	100	100	resfinder	FN396876	blaNDM-1	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Ceftazidime;Ertapenem;Imipenem;Meropenem;Piperacillin;Piperacillin+Tazobactam
cpe001.nextpolish.fasta	tig00000008_np1212	352662	353474	-	blaNDM-1_1	1-813/813	===============	0/0	100	100	resfinder	FN396876	blaNDM-1	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Ceftazidime;Ertapenem;Imipenem;Meropenem;Piperacillin;Piperacillin+Tazobactam
cpe002.nextpolish.fasta	tig00000006_np1212	7521	7994	+	dfrA1_8	1-474/474	===============	0/0	100	100	resfinder	X00926	dfrA1	Trimethoprim
cpe002.nextpolish.fasta	tig00000006_np1212	111688	112503	-	aph(3')-Ia_1	1-816/816	===============	0/0	100	100	resfinder	V00359	aph(3')-Ia	
cpe002.nextpolish.fasta	tig00000006_np1212	116974	117840	-	sul1_5	1-867/867	===============	0/0	100	99.89	resfinder	EU780013	sul1	Sulfamethoxazole
cpe002.nextpolish.fasta	tig00000006_np1212	119465	120121	-	qnrA1_1	1-657/657	===============	0/0	100	99.85	resfinder	AY070235	qnrA1	Ciprofloxacin
cpe002.nextpolish.fasta	tig00000006_np1212	122331	123197	-	sul1_5	1-867/867	===============	0/0	100	99.89	resfinder	EU780013	sul1	Sulfamethoxazole
cpe002.nextpolish.fasta	tig00000006_np1212	124374	125114	-	blaIMP-70_1	1-741/741	===============	0/0	100	99.86	resfinder	MG748725	blaIMP-70	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Ceftazidime;Ertapenem;Imipenem;Meropenem;Piperacillin;Piperacillin+Tazobactam
cpe002.nextpolish.fasta	tig00000009.tig00000007_np1212	1267030	1267829	-	ant(3'')-Ia_1	170-972/972	..======/======	01-Mar	82.3	99.38	resfinder	X02340	ant(3'')-Ia	Streptomycin
cpe002.nextpolish.fasta	tig00000009.tig00000007_np1212	1268495	1268968	-	dfrA1_8	1-474/474	===============	0/0	100	100	resfinder	X00926	dfrA1	Trimethoprim
cpe002.nextpolish.fasta	tig00000009.tig00000007_np1212	1726724	1727869	-	blaACT-7_1	1-1146/1146	===============	0/0	100	98.34	resfinder	FJ237368	blaACT-7	
cpe002.nextpolish.fasta	tig00000009.tig00000007_np1212	4678621	4681740	-	oqxB_1	1-3120/3153	===============	0/0	98.95	88.78	resfinder	EU370913	oqxB	Nalidixic_acid;Ciprofloxacin
cpe002.nextpolish.fasta	tig00000009.tig00000007_np1212	4681764	4682939	-	oqxA_1	1-1176/1176	===============	0/0	100	86.65	resfinder	EU370913	oqxA	Nalidixic_acid;Ciprofloxacin
cpe003.nextpolish.fasta	contig_1_np1212	1156013	1156612	+	aac(6')-Ib-cr_1	1-600/600	===============	0/0	100	100	resfinder	DQ303918	aac(6')-Ib-cr	Ciprofloxacin
cpe003.nextpolish.fasta	contig_1_np1212	1156743	1157573	+	blaOXA-1_1	1-831/831	===============	0/0	100	100	resfinder	HQ170510	blaOXA-1	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefepime;Piperacillin;Piperacillin+Tazobactam
cpe003.nextpolish.fasta	contig_1_np1212	1622999	1623859	+	blaSHV-106_1	1-861/861	===============	0/0	100	99.88	resfinder	AM922307	blaSHV-106	Amoxicillin;Ampicillin;Aztreonam;Cefepime;Cefotaxime;Ceftazidime;Ceftriaxone;Piperacillin;Ticarcillin
cpe003.nextpolish.fasta	contig_1_np1212	3459027	3459446	-	fosA6_1	1-420/433	===============	0/0	97	99.52	resfinder	KU254579	fosA6	Fosfomycin
cpe003.nextpolish.fasta	contig_1_np1212	4130202	4130675	-	dfrA1_8	1-474/474	===============	0/0	100	100	resfinder	X00926	dfrA1	Trimethoprim
cpe003.nextpolish.fasta	contig_1_np1212	4281299	4282159	+	aac(3)-IId_1	1-861/861	===============	0/0	100	99.88	resfinder	EU022314	aac(3)-IId	Gentamicin;Tobramycin
cpe003.nextpolish.fasta	contig_1_np1212	4287856	4288722	-	blaSHV-187_1	1-867/867	===============	0/0	100	99.54	resfinder	LN515533	blaSHV-187	
cpe003.nextpolish.fasta	contig_1_np1212	4295446	4296306	-	blaTEM-1A_1	1-861/861	===============	0/0	100	100	resfinder	HM749966	blaTEM-1A	Amoxicillin;Ampicillin;Cephalothin;Piperacillin;Ticarcillin
cpe003.nextpolish.fasta	contig_1_np1212	4299128	4300003	+	blaCTX-M-15_1	1-876/876	===============	0/0	100	100	resfinder	AY044436	blaCTX-M-15	Amoxicillin;Ampicillin;Aztreonam;Cefepime;Cefotaxime;Ceftazidime;Ceftriaxone;Piperacillin;Ticarcillin
cpe003.nextpolish.fasta	contig_1_np1212	5372510	5375662	-	oqxB_1	1-3153/3153	===============	0/0	100	98.8	resfinder	EU370913	oqxB	Nalidixic_acid;Ciprofloxacin
cpe003.nextpolish.fasta	contig_1_np1212	5375686	5376861	-	oqxA_1	1-1176/1176	===============	0/0	100	99.23	resfinder	EU370913	oqxA	Nalidixic_acid;Ciprofloxacin
cpe003.nextpolish.fasta	contig_3_np1212	1393	2223	-	blaOXA-1_1	1-831/831	===============	0/0	100	100	resfinder	HQ170510	blaOXA-1	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefepime;Piperacillin;Piperacillin+Tazobactam
cpe003.nextpolish.fasta	contig_3_np1212	2354	2953	-	aac(6')-Ib-cr_1	1-600/600	===============	0/0	100	100	resfinder	DQ303918	aac(6')-Ib-cr	Ciprofloxacin
cpe003.nextpolish.fasta	contig_3_np1212	3887	4753	+	blaSHV-187_1	1-867/867	===============	0/0	100	99.54	resfinder	LN515533	blaSHV-187	
cpe003.nextpolish.fasta	contig_3_np1212	9427	10071	+	qnrB1_1	1-645/645	===============	0/0	100	100	resfinder	DQ351241	qnrB1	Ciprofloxacin
cpe003.nextpolish.fasta	contig_3_np1212	137110	137922	-	blaNDM-1_1	1-813/813	===============	0/0	100	100	resfinder	FN396876	blaNDM-1	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Ceftazidime;Ertapenem;Imipenem;Meropenem;Piperacillin;Piperacillin+Tazobactam
cpe003.nextpolish.fasta	contig_3_np1212	140355	141134	-	aph(3')-VI_1	1-780/780	===============	0/0	100	100	resfinder	KC170992	aph(3')-VI	Amikacin
cpe003.nextpolish.fasta	contig_3_np1212	146442	147326	-	mph(E)_1	1-885/885	===============	0/0	100	99.89	resfinder	DQ839391	mph(E)	Erythromycin
cpe003.nextpolish.fasta	contig_3_np1212	147382	148857	-	msr(E)_1	1-1476/1476	===============	0/0	100	100	resfinder	FR751518	msr(E)	
cpe003.nextpolish.fasta	contig_3_np1212	151156	151929	-	armA_1	1-774/774	===============	0/0	100	100	resfinder	AY220558	armA	Amikacin;Gentamicin;Tobramycin
cpe003.nextpolish.fasta	contig_3_np1212	155274	156140	-	sul1_5	1-867/867	===============	0/0	100	99.89	resfinder	EU780013	sul1	Sulfamethoxazole
cpe003.nextpolish.fasta	contig_3_np1212	156618	157419	-	aadA2_1	18-819/819	===============	0/0	97.92	99.88	resfinder	NC_010870	aadA2	Streptomycin
cpe003.nextpolish.fasta	contig_3_np1212	157817	158314	-	dfrA12_8	1-498/498	===============	0/0	100	100	resfinder	AM040708	dfrA12	Trimethoprim
cpe003.nextpolish.fasta	contig_3_np1212	285050	285925	-	blaCTX-M-15_1	1-876/876	===============	0/0	100	100	resfinder	AY044436	blaCTX-M-15	Amoxicillin;Ampicillin;Aztreonam;Cefepime;Cefotaxime;Ceftazidime;Ceftriaxone;Piperacillin;Ticarcillin
cpe003.nextpolish.fasta	contig_3_np1212	288747	289352	+	aac(6')-Ib_1	1-606/606	===============	0/0	100	100	resfinder	M21682	aac(6')-Ib	Amikacin;Tobramycin
cpe003.nextpolish.fasta	contig_3_np1212	290025	290885	+	blaTEM-1A_1	1-861/861	===============	0/0	100	100	resfinder	HM749966	blaTEM-1A	Amoxicillin;Ampicillin;Cephalothin;Piperacillin;Ticarcillin
cpe003.nextpolish.fasta	contig_3_np1212	292170	293354	+	tet(D)_1	1-1185/1185	===============	0/0	100	100	resfinder	AF467077	tet(D)	Doxycycline;Tetracycline
cpe003.nextpolish.fasta	contig_3_np1212	301218	301700	-	dfrA14_5	1-483/483	===============	0/0	100	99.59	resfinder	DQ388123	dfrA14	Trimethoprim
cpe004.nextpolish.fasta	1_np1212	127490	127963	+	dfrA1_8	1-474/474	===============	0/0	100	100	resfinder	X00926	dfrA1	Trimethoprim
cpe004.nextpolish.fasta	1_np1212	798722	799141	+	fosA6_1	1-420/433	===============	0/0	97	99.52	resfinder	KU254579	fosA6	Fosfomycin
cpe004.nextpolish.fasta	1_np1212	2634310	2635170	-	blaSHV-106_1	1-861/861	===============	0/0	100	99.88	resfinder	AM922307	blaSHV-106	Amoxicillin;Ampicillin;Aztreonam;Cefepime;Cefotaxime;Ceftazidime;Ceftriaxone;Piperacillin;Ticarcillin
cpe004.nextpolish.fasta	1_np1212	3100596	3101426	-	blaOXA-1_1	1-831/831	===============	0/0	100	100	resfinder	HQ170510	blaOXA-1	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefepime;Piperacillin;Piperacillin+Tazobactam
cpe004.nextpolish.fasta	1_np1212	3101557	3102156	-	aac(6')-Ib-cr_1	1-600/600	===============	0/0	100	100	resfinder	DQ303918	aac(6')-Ib-cr	Ciprofloxacin
cpe004.nextpolish.fasta	1_np1212	4287879	4289054	+	oqxA_1	1-1176/1176	===============	0/0	100	99.23	resfinder	EU370913	oqxA	Nalidixic_acid;Ciprofloxacin
cpe004.nextpolish.fasta	1_np1212	4289078	4292230	+	oqxB_1	1-3153/3153	===============	0/0	100	98.8	resfinder	EU370913	oqxB	Nalidixic_acid;Ciprofloxacin
cpe004.nextpolish.fasta	1_np1212	5364737	5365612	-	blaCTX-M-15_1	1-876/876	===============	0/0	100	100	resfinder	AY044436	blaCTX-M-15	Amoxicillin;Ampicillin;Aztreonam;Cefepime;Cefotaxime;Ceftazidime;Ceftriaxone;Piperacillin;Ticarcillin
cpe004.nextpolish.fasta	1_np1212	5368434	5369294	+	blaTEM-1A_1	1-861/861	===============	0/0	100	100	resfinder	HM749966	blaTEM-1A	Amoxicillin;Ampicillin;Cephalothin;Piperacillin;Ticarcillin
cpe004.nextpolish.fasta	1_np1212	5376018	5376884	+	blaSHV-187_1	1-867/867	===============	0/0	100	99.54	resfinder	LN515533	blaSHV-187	
cpe004.nextpolish.fasta	1_np1212	5382581	5383441	-	aac(3)-IId_1	1-861/861	===============	0/0	100	99.88	resfinder	EU022314	aac(3)-IId	Gentamicin;Tobramycin
cpe004.nextpolish.fasta	2_np1212	17694	18569	-	blaCTX-M-15_1	1-876/876	===============	0/0	100	100	resfinder	AY044436	blaCTX-M-15	Amoxicillin;Ampicillin;Aztreonam;Cefepime;Cefotaxime;Ceftazidime;Ceftriaxone;Piperacillin;Ticarcillin
cpe004.nextpolish.fasta	2_np1212	21391	21996	+	aac(6')-Ib_1	1-606/606	===============	0/0	100	100	resfinder	M21682	aac(6')-Ib	Amikacin;Tobramycin
cpe004.nextpolish.fasta	2_np1212	22669	23529	+	blaTEM-1A_1	1-861/861	===============	0/0	100	100	resfinder	HM749966	blaTEM-1A	Amoxicillin;Ampicillin;Cephalothin;Piperacillin;Ticarcillin
cpe004.nextpolish.fasta	2_np1212	24814	25998	+	tet(D)_1	1-1185/1185	===============	0/0	100	100	resfinder	AF467077	tet(D)	Doxycycline;Tetracycline
cpe004.nextpolish.fasta	2_np1212	33862	34344	-	dfrA14_5	1-483/483	===============	0/0	100	99.59	resfinder	DQ388123	dfrA14	Trimethoprim
cpe004.nextpolish.fasta	2_np1212	37386	38216	-	blaOXA-1_1	1-831/831	===============	0/0	100	100	resfinder	HQ170510	blaOXA-1	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefepime;Piperacillin;Piperacillin+Tazobactam
cpe004.nextpolish.fasta	2_np1212	38347	38946	-	aac(6')-Ib-cr_1	1-600/600	===============	0/0	100	100	resfinder	DQ303918	aac(6')-Ib-cr	Ciprofloxacin
cpe004.nextpolish.fasta	2_np1212	44218	44862	+	qnrB1_1	1-645/645	===============	0/0	100	100	resfinder	DQ351241	qnrB1	Ciprofloxacin
cpe004.nextpolish.fasta	2_np1212	143488	144300	-	blaNDM-1_1	1-813/813	===============	0/0	100	100	resfinder	FN396876	blaNDM-1	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Ceftazidime;Ertapenem;Imipenem;Meropenem;Piperacillin;Piperacillin+Tazobactam
cpe004.nextpolish.fasta	2_np1212	146733	147512	-	aph(3')-VI_1	1-780/780	===============	0/0	100	100	resfinder	KC170992	aph(3')-VI	Amikacin
cpe004.nextpolish.fasta	2_np1212	152820	153704	-	mph(E)_1	1-885/885	===============	0/0	100	99.89	resfinder	DQ839391	mph(E)	Erythromycin
cpe004.nextpolish.fasta	2_np1212	153760	155235	-	msr(E)_1	1-1476/1476	===============	0/0	100	100	resfinder	FR751518	msr(E)	
cpe004.nextpolish.fasta	2_np1212	157534	158307	-	armA_1	1-774/774	===============	0/0	100	100	resfinder	AY220558	armA	Amikacin;Gentamicin;Tobramycin
cpe004.nextpolish.fasta	2_np1212	161652	162518	-	sul1_5	1-867/867	===============	0/0	100	99.89	resfinder	EU780013	sul1	Sulfamethoxazole
cpe004.nextpolish.fasta	2_np1212	162996	163797	-	aadA2_1	18-819/819	===============	0/0	97.92	99.88	resfinder	NC_010870	aadA2	Streptomycin
cpe004.nextpolish.fasta	2_np1212	164195	164692	-	dfrA12_8	1-498/498	===============	0/0	100	100	resfinder	AM040708	dfrA12	Trimethoprim
cpe005.nextpolish.fasta	contig_1_np1212	4319375	4320241	-	sul1_5	1-867/867	===============	0/0	100	99.89	resfinder	EU780013	sul1	Sulfamethoxazole
cpe005.nextpolish.fasta	contig_1_np1212	4320712	4321509	-	aadA13_1	1-798/798	===============	0/0	100	100	resfinder	AY713504	aadA13	Streptomycin
cpe005.nextpolish.fasta	contig_1_np1212	4321567	4322100	-	ant(2'')-Ia_1	1-534/534	===============	0/0	100	100	resfinder	X04555	ant(2'')-Ia	Gentamicin;Tobramycin
cpe005.nextpolish.fasta	contig_1_np1212	4322170	4322729	-	aac(6')-Ib_1	47-606/606	.==============	0/0	92.41	99.64	resfinder	M21682	aac(6')-Ib	Amikacin;Tobramycin
cpe005.nextpolish.fasta	contig_1_np1212	4323258	4323998	-	blaIMP-15_1	1-741/741	===============	0/0	100	100	resfinder	AY553333	blaIMP-15	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Ceftazidime;Ertapenem;Imipenem;Meropenem;Piperacillin;Piperacillin+Tazobactam
cpe005.nextpolish.fasta	contig_1_np1212	4324152	4324892	-	blaIMP-15_1	1-741/741	===============	0/0	100	100	resfinder	AY553333	blaIMP-15	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Ceftazidime;Ertapenem;Imipenem;Meropenem;Piperacillin;Piperacillin+Tazobactam
cpe006.nextpolish.fasta	contig_1_np1212	4391768	4392634	-	sul1_5	1-867/867	===============	0/0	100	99.77	resfinder	EU780013	sul1	Sulfamethoxazole
cpe006.nextpolish.fasta	contig_1_np1212	4393404	4394231	-	blaOXA-2_1	1-828/828	===============	0/0	100	100	resfinder	DQ112222	blaOXA-2	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Ceftazidime;Piperacillin
cpe006.nextpolish.fasta	contig_1_np1212	4394966	4396192	-	ere(A)_2	1-1227/1227	===============	0/0	100	100	resfinder	AF099140	ere(A)	Erythromycin
cpe006.nextpolish.fasta	contig_1_np1212	4397493	4397966	-	dfrA5_1	1-474/474	===============	0/0	100	100	resfinder	X12868	dfrA5	Trimethoprim
cpe006.nextpolish.fasta	contig_1_np1212	4398109	4398849	-	blaIMP-70_1	1-741/741	===============	0/0	100	99.86	resfinder	MG748725	blaIMP-70	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Ceftazidime;Ertapenem;Imipenem;Meropenem;Piperacillin;Piperacillin+Tazobactam
cpe006.nextpolish.fasta	contig_1_np1212	4406938	4407740	+	aph(3'')-Ib_2	2-804/804	===============	0/0	99.88	100	resfinder	AF024602	aph(3'')-Ib	Streptomycin
cpe006.nextpolish.fasta	contig_1_np1212	4407740	4408576	+	aph(6)-Id_1	1-837/837	===============	0/0	100	100	resfinder	M28829	aph(6)-Id	Streptomycin
cpe007.nextpolish.fasta	contig_2_np1212	1138085	1138282	-	crpP_1	1-198/198	===============	0/0	100	98.48	resfinder	HM560971	crpP	Ciprofloxacin
cpe007.nextpolish.fasta	contig_2_np1212	1512542	1513180	-	catB7_1	1-639/639	===============	0/0	100	98.59	resfinder	AF036933	catB7	Chloramphenicol
cpe007.nextpolish.fasta	contig_2_np1212	1997992	1998399	+	fosA_4	1-408/408	===============	0/0	100	99.75	resfinder	ACWU01000146	fosA	Fosfomycin
cpe007.nextpolish.fasta	contig_2_np1212	5621462	5622655	+	blaPAO_4	1-1194/1194	===============	0/0	100	99.5	resfinder	AY083592	blaPAO	
cpe007.nextpolish.fasta	contig_2_np1212	5634998	5635804	-	aph(3')-IIb_2	1-807/807	===============	0/0	100	99.63	resfinder	CP006832	aph(3')-IIb	
cpe007.nextpolish.fasta	contig_2_np1212	6503116	6503352	+	dfrB2_2	1-237/237	===============	0/0	100	100	resfinder	AY553333	dfrB2	Trimethoprim
cpe007.nextpolish.fasta	contig_2_np1212	6503579	6504379	+	blaOXA-10_1	1-801/801	===============	0/0	100	99.88	resfinder	J03427	blaOXA-10	Amoxicillin;Ampicillin;Aztreonam;Piperacillin;Piperacillin+Tazobactam
cpe007.nextpolish.fasta	contig_2_np1212	6504376	6505187	+	ant(3'')-Ia_1	161-972/972	..=============	0/0	83.54	99.75	resfinder	X02340	ant(3'')-Ia	Streptomycin
cpe007.nextpolish.fasta	contig_2_np1212	6507047	6507913	+	sul1_5	1-867/867	===============	0/0	100	99.89	resfinder	EU780013	sul1	Sulfamethoxazole
cpe007.nextpolish.fasta	contig_2_np1212	6514220	6515457	+	tet(A)_6	1-1238/1275	===============	0/0	97.1	99.44	resfinder	AF534183	tet(A)	Doxycycline;Tetracycline
cpe007.nextpolish.fasta	contig_2_np1212	6516219	6517115	-	blaVEB-1_1	1-900/900	========/======	01-Mar	99.67	99.67	resfinder	HM370393	blaVEB-1	
cpe007.nextpolish.fasta	contig_2_np1212	6517678	6518544	+	sul1_5	1-867/867	===============	0/0	100	99.89	resfinder	EU780013	sul1	Sulfamethoxazole
cpe007.nextpolish.fasta	contig_2_np1212	6691651	6692439	-	blaOXA-50_1	1-789/789	===============	0/0	100	99.37	resfinder	AY306130	blaOXA-50	Amoxicillin;Ampicillin
cpe007.nextpolish.fasta	contig_3_np1212	5426	6277	-	sul1_9	1-852/852	===============	0/0	100	100	resfinder	AY963803	sul1	Sulfamethoxazole
cpe007.nextpolish.fasta	contig_3_np1212	9135	9914	-	aph(3')-VIa_1	1-780/780	===============	0/0	100	98.08	resfinder	X07753	aph(3')-VIa	Amikacin
cpe007.nextpolish.fasta	contig_3_np1212	11435	12610	-	tet(G)_2	1-1176/1176	===============	0/0	100	99.83	resfinder	AF133140	tet(G)	Doxycycline;Tetracycline
