locus_tag	ftype	length_bp	gene	EC_number	COG	product
KHAGGBBM_00054	CDS	945	ascG_1		COG1609	HTH-type transcriptional regulator AscG
KHAGGBBM_00055	gene	1371	pcaK_1			
KHAGGBBM_00055	CDS	1371	pcaK_1		COG0477	4-hydroxybenzoate transporter PcaK
KHAGGBBM_00056	gene	729	mhpB_1			
KHAGGBBM_00056	CDS	729	mhpB_1	1.13.11.16		2,3-dihydroxyphenylpropionate/2,3-dihydroxicinnamic acid 1,2-dioxygenase
KHAGGBBM_00057	gene	552	galA			
KHAGGBBM_00057	CDS	552	galA	1.13.11.57		Gallate dioxygenase
KHAGGBBM_00058	gene	1227	hdfR_1			
KHAGGBBM_00058	CDS	1227	hdfR_1			HTH-type transcriptional regulator HdfR
KHAGGBBM_00059	gene	741	galB			
KHAGGBBM_00059	CDS	741	galB	4.2.1.83	COG2120	4-oxalmesaconate hydratase
KHAGGBBM_00060	gene	714	galC			
KHAGGBBM_00060	CDS	714	galC	4.1.3.17	COG0684	4-carboxy-4-hydroxy-2-oxoadipic acid aldolase
KHAGGBBM_00061	gene	1086	galD			
KHAGGBBM_00061	CDS	1086	galD	5.3.2.8	COG2828	4-oxalomesaconate tautomerase
KHAGGBBM_00062	gene	864				
KHAGGBBM_00062	CDS	864				hypothetical protein
KHAGGBBM_00063	gene	291				
KHAGGBBM_00063	CDS	291				hypothetical protein
KHAGGBBM_00064	gene	903	yicL			
KHAGGBBM_00064	CDS	903	yicL		COG0697	putative inner membrane transporter YicL
KHAGGBBM_00065	gene	1434	murP			
KHAGGBBM_00065	CDS	1434	murP		COG2190	PTS system N-acetylmuramic acid-specific EIIBC component
KHAGGBBM_00066	gene	903	murQ_1			
KHAGGBBM_00066	CDS	903	murQ_1	4.2.1.126	COG2103	N-acetylmuramic acid 6-phosphate etherase
KHAGGBBM_00067	gene	1164	bcr_1			
KHAGGBBM_00067	CDS	1164	bcr_1			Bicyclomycin resistance protein
KHAGGBBM_00068	gene	1365	oprM_1			
KHAGGBBM_00068	CDS	1365	oprM_1		COG1538	Outer membrane protein OprM
KHAGGBBM_00069	gene	3108	mexB			
KHAGGBBM_00069	CDS	3108	mexB		COG0841	Multidrug resistance protein MexB
KHAGGBBM_00070	gene	1125	mexA			
KHAGGBBM_00070	CDS	1125	mexA			Multidrug resistance protein MexA
KHAGGBBM_00071	gene	417				
KHAGGBBM_00071	CDS	417		2.3.1.-		Acetyltransferase
KHAGGBBM_00072	gene	648	betI_1			
KHAGGBBM_00072	CDS	648	betI_1			HTH-type transcriptional regulator BetI
KHAGGBBM_00073	gene	1494	bmr3			
KHAGGBBM_00073	CDS	1494	bmr3			Multidrug resistance protein 3
KHAGGBBM_00074	gene	915	dmlR_1			
KHAGGBBM_00074	CDS	915	dmlR_1			HTH-type transcriptional regulator DmlR
KHAGGBBM_00075	gene	627				
KHAGGBBM_00075	CDS	627				hypothetical protein
KHAGGBBM_00076	gene	471				
KHAGGBBM_00076	CDS	471				hypothetical protein
KHAGGBBM_00077	gene	537				
KHAGGBBM_00077	CDS	537				hypothetical protein
KHAGGBBM_00078	gene	906	mtrA			
KHAGGBBM_00078	CDS	906	mtrA			HTH-type transcriptional regulator MtrA
KHAGGBBM_00079	gene	810	nlpA			
KHAGGBBM_00079	CDS	810	nlpA		COG1464	Lipoprotein 28
KHAGGBBM_00080	gene	855				
KHAGGBBM_00080	CDS	855				hypothetical protein
KHAGGBBM_00081	gene	561	rppH_1			
KHAGGBBM_00081	CDS	561	rppH_1	3.6.1.-		RNA pyrophosphohydrolase
KHAGGBBM_00082	gene	780				
KHAGGBBM_00082	CDS	780				hypothetical protein
KHAGGBBM_00083	gene	954	cdhR			
KHAGGBBM_00083	CDS	954	cdhR		COG4977	HTH-type transcriptional regulator CdhR
KHAGGBBM_00084	gene	1050	yahK			
KHAGGBBM_00084	CDS	1050	yahK	1.1.1.2	COG1064	Aldehyde reductase YahK
KHAGGBBM_00085	gene	699	iprA_1			
KHAGGBBM_00085	CDS	699	iprA_1			Inhibitor of hydrogen peroxide resistance
KHAGGBBM_00086	gene	291	ycnE			
KHAGGBBM_00086	CDS	291	ycnE	1.-.-.-	COG1359	Putative monooxygenase YcnE
KHAGGBBM_00087	gene	1008				
KHAGGBBM_00087	CDS	1008				Zinc-type alcohol dehydrogenase-like protein
KHAGGBBM_00088	gene	468				
KHAGGBBM_00088	CDS	468				hypothetical protein
KHAGGBBM_00089	gene	95				
KHAGGBBM_00089	tRNA	95				tRNA-SeC(tca)
KHAGGBBM_00090	gene	1395	yicJ_1			
KHAGGBBM_00090	CDS	1395	yicJ_1		COG2211	Inner membrane symporter YicJ
KHAGGBBM_00091	gene	2319	yicI			
KHAGGBBM_00091	CDS	2319	yicI	3.2.1.177	COG1501	Alpha-xylosidase
KHAGGBBM_00092	gene	723				
KHAGGBBM_00092	CDS	723				hypothetical protein
KHAGGBBM_00093	gene	1380	pagL			
KHAGGBBM_00093	CDS	1380	pagL	3.2.1.-	COG1486	Phospho-alpha-glucosidase PagL
KHAGGBBM_00094	gene	1560	malP_2			
KHAGGBBM_00094	CDS	1560	malP_2		COG1263	PTS system maltose-specific EIICB component
KHAGGBBM_00095	gene	1716				
KHAGGBBM_00095	CDS	1716				hypothetical protein
KHAGGBBM_00096	gene	1392	xanP_1			
KHAGGBBM_00096	CDS	1392	xanP_1		COG2233	Xanthine permease XanP
KHAGGBBM_00097	gene	1203	gltS			
KHAGGBBM_00097	CDS	1203	gltS		COG0786	Sodium/glutamate symporter
KHAGGBBM_00098	gene	1512	glpK			
KHAGGBBM_00098	CDS	1512	glpK	2.7.1.30	COG0554	Glycerol kinase
KHAGGBBM_00099	gene	852	glpF_1			
KHAGGBBM_00099	CDS	852	glpF_1		COG0580	Glycerol uptake facilitator protein
KHAGGBBM_00100	gene	240	zapB			
KHAGGBBM_00100	CDS	240	zapB		COG3074	Cell division protein ZapB
KHAGGBBM_00101	gene	990	sbp			
KHAGGBBM_00101	CDS	990	sbp		COG1613	Sulfate-binding protein
KHAGGBBM_00102	gene	765	cdh			
KHAGGBBM_00102	CDS	765	cdh	3.6.1.26	COG2134	CDP-diacylglycerol pyrophosphatase
KHAGGBBM_00103	gene	1305				
KHAGGBBM_00103	CDS	1305				hypothetical protein
KHAGGBBM_00104	gene	768	tpiA			
KHAGGBBM_00104	CDS	768	tpiA	5.3.1.1	COG0149	Triosephosphate isomerase
KHAGGBBM_00105	gene	603				
KHAGGBBM_00105	CDS	603				hypothetical protein
KHAGGBBM_00106	gene	429				
KHAGGBBM_00106	CDS	429				hypothetical protein
KHAGGBBM_00107	gene	747	fpr			
KHAGGBBM_00107	CDS	747	fpr	1.18.1.2	COG1018	Flavodoxin/ferredoxin--NADP reductase
KHAGGBBM_00108	gene	1011	glpX			
KHAGGBBM_00108	CDS	1011	glpX	3.1.3.11	COG1494	Fructose-1,6-bisphosphatase 1 class 2
KHAGGBBM_00109	gene	2082	recG			
KHAGGBBM_00109	CDS	2082	recG	3.6.4.12	COG1200	ATP-dependent DNA helicase RecG
KHAGGBBM_00110	gene	690	trmH			
KHAGGBBM_00110	CDS	690	trmH	2.1.1.34	COG0566	tRNA (guanosine(18)-2'-O)-methyltransferase
KHAGGBBM_00111	gene	2121	spoT			
KHAGGBBM_00111	CDS	2121	spoT		COG0317	Bifunctional (p)ppGpp synthase/hydrolase SpoT
KHAGGBBM_00112	gene	276	rpoZ			
KHAGGBBM_00112	CDS	276	rpoZ	2.7.7.6	COG1758	DNA-directed RNA polymerase subunit omega
KHAGGBBM_00113	gene	624	gmk			
KHAGGBBM_00113	CDS	624	gmk	2.7.4.8	COG0194	Guanylate kinase
KHAGGBBM_00114	gene	1677	ligB			
KHAGGBBM_00114	CDS	1677	ligB	6.5.1.2	COG0272	DNA ligase B
KHAGGBBM_00115	gene	618				
KHAGGBBM_00115	CDS	618				hypothetical protein
KHAGGBBM_00116	gene	1251	clcB_1			
KHAGGBBM_00116	CDS	1251	clcB_1			Voltage-gated ClC-type chloride channel ClcB
KHAGGBBM_00117	gene	1059	ada_1			
KHAGGBBM_00117	CDS	1059	ada_1		COG0350	Bifunctional transcriptional activator/DNA repair enzyme Ada
KHAGGBBM_00118	gene	747				
KHAGGBBM_00118	CDS	747			COG2513	putative protein
KHAGGBBM_00119	gene	864				
KHAGGBBM_00119	CDS	864				hypothetical protein
KHAGGBBM_00120	gene	981				
KHAGGBBM_00120	CDS	981			COG3039	IS5 family transposase ISKpn26
KHAGGBBM_00121	gene	252				
KHAGGBBM_00121	CDS	252				hypothetical protein
KHAGGBBM_00122	gene	525	wecD_1			
KHAGGBBM_00122	CDS	525	wecD_1	2.3.1.210		dTDP-fucosamine acetyltransferase
KHAGGBBM_00123	gene	498				
KHAGGBBM_00123	CDS	498				hypothetical protein
KHAGGBBM_00124	gene	372				
KHAGGBBM_00124	CDS	372				hypothetical protein
KHAGGBBM_00125	gene	378				
KHAGGBBM_00125	CDS	378				hypothetical protein
KHAGGBBM_00126	gene	126				
KHAGGBBM_00126	CDS	126				hypothetical protein
KHAGGBBM_00127	gene	996	tnsE_1			
KHAGGBBM_00127	CDS	996	tnsE_1			Transposon Tn7 transposition protein TnsE
KHAGGBBM_00128	gene	981				
KHAGGBBM_00128	CDS	981			COG3039	IS5 family transposase ISKpn26
KHAGGBBM_00129	gene	771	tnsE_2			
KHAGGBBM_00129	CDS	771	tnsE_2			Transposon Tn7 transposition protein TnsE
KHAGGBBM_00130	gene	1527				
KHAGGBBM_00130	CDS	1527				hypothetical protein
KHAGGBBM_00131	gene	1668	tnsC			
KHAGGBBM_00131	CDS	1668	tnsC			Transposon Tn7 transposition protein TnsC
KHAGGBBM_00132	gene	2109	tnsB_1			
KHAGGBBM_00132	CDS	2109	tnsB_1			Transposon Tn7 transposition protein TnsB
KHAGGBBM_00133	gene	822	tnsA_1			
KHAGGBBM_00133	CDS	822	tnsA_1			Transposon Tn7 transposition protein TnsA
KHAGGBBM_00134	gene	1830	glmS_1			
KHAGGBBM_00134	CDS	1830	glmS_1	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
KHAGGBBM_00135	gene	1371	glmU			
KHAGGBBM_00135	CDS	1371	glmU		COG1207	Bifunctional protein GlmU
KHAGGBBM_00136	gene	420	atpC			
KHAGGBBM_00136	CDS	420	atpC		COG0355	ATP synthase epsilon chain
KHAGGBBM_00137	gene	1383	atpD			
KHAGGBBM_00137	CDS	1383	atpD	7.1.2.2	COG0055	ATP synthase subunit beta
KHAGGBBM_00138	gene	864	atpG			
KHAGGBBM_00138	CDS	864	atpG		COG0224	ATP synthase gamma chain
KHAGGBBM_00139	gene	1542	atpA			
KHAGGBBM_00139	CDS	1542	atpA	7.1.2.2		ATP synthase subunit alpha
KHAGGBBM_00140	gene	534	atpH			
KHAGGBBM_00140	CDS	534	atpH		COG0712	ATP synthase subunit delta
KHAGGBBM_00141	gene	471	atpF			
KHAGGBBM_00141	CDS	471	atpF		COG0711	ATP synthase subunit b
KHAGGBBM_00142	gene	240	atpE			
KHAGGBBM_00142	CDS	240	atpE		COG0636	ATP synthase subunit c
KHAGGBBM_00143	gene	816	atpB			
KHAGGBBM_00143	CDS	816	atpB		COG0356	ATP synthase subunit a
KHAGGBBM_00144	gene	381	atpI			
KHAGGBBM_00144	CDS	381	atpI		COG3312	ATP synthase protein I
KHAGGBBM_00145	gene	624	rsmG			
KHAGGBBM_00145	CDS	624	rsmG	2.1.1.170	COG0357	Ribosomal RNA small subunit methyltransferase G
KHAGGBBM_00146	gene	1890	mnmG			
KHAGGBBM_00146	CDS	1890	mnmG		COG0445	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
KHAGGBBM_00147	gene	441	mioC			
KHAGGBBM_00147	CDS	441	mioC		COG0716	Protein MioC
KHAGGBBM_00148	gene	459	asnC			
KHAGGBBM_00148	CDS	459	asnC		COG1522	Regulatory protein AsnC
KHAGGBBM_00149	gene	993	asnA			
KHAGGBBM_00149	CDS	993	asnA	6.3.1.1	COG2502	Aspartate--ammonia ligase
KHAGGBBM_00150	gene	1449	viaA			
KHAGGBBM_00150	CDS	1449	viaA		COG2425	Protein ViaA
KHAGGBBM_00151	gene	1500	ravA			
KHAGGBBM_00151	CDS	1500	ravA	3.6.3.-	COG0714	ATPase RavA
KHAGGBBM_00152	gene	1869	kup			
KHAGGBBM_00152	CDS	1869	kup			Low affinity potassium transport system protein kup
KHAGGBBM_00153	gene	420	rbsD			
KHAGGBBM_00153	CDS	420	rbsD	5.4.99.62	COG1869	D-ribose pyranase
KHAGGBBM_00154	gene	1506	rbsA_1			
KHAGGBBM_00154	CDS	1506	rbsA_1	7.5.2.7	COG1129	Ribose import ATP-binding protein RbsA
KHAGGBBM_00155	gene	966	rbsC_1			
KHAGGBBM_00155	CDS	966	rbsC_1		COG1172	Ribose import permease protein RbsC
KHAGGBBM_00156	gene	891	rbsB_1			
KHAGGBBM_00156	CDS	891	rbsB_1		COG1879	Ribose import binding protein RbsB
KHAGGBBM_00157	gene	933	rbsK_1			
KHAGGBBM_00157	CDS	933	rbsK_1	2.7.1.15	COG0524	Ribokinase
KHAGGBBM_00158	gene	984	rbsR_1			
KHAGGBBM_00158	CDS	984	rbsR_1		COG1609	Ribose operon repressor
KHAGGBBM_00159	gene	1398	hsrA_1			
KHAGGBBM_00159	CDS	1398	hsrA_1			putative transport protein HsrA
KHAGGBBM_00160	gene	702	nanR			
KHAGGBBM_00160	CDS	702	nanR			HTH-type transcriptional repressor NanR
KHAGGBBM_00161	gene	1536				
KHAGGBBM_00161	rRNA	1536				16S ribosomal RNA
KHAGGBBM_00162	gene	76				
KHAGGBBM_00162	tRNA	76				tRNA-Glu(ttc)
KHAGGBBM_00163	gene	2899				
KHAGGBBM_00163	rRNA	2899				23S ribosomal RNA
KHAGGBBM_00164	gene	111				
KHAGGBBM_00164	rRNA	111				5S ribosomal RNA
KHAGGBBM_00165	gene	507	mobB			
KHAGGBBM_00165	CDS	507	mobB		COG1763	Molybdopterin-guanine dinucleotide biosynthesis adapter protein
KHAGGBBM_00166	gene	582	mobA			
KHAGGBBM_00166	CDS	582	mobA	2.7.7.77	COG0746	Molybdenum cofactor guanylyltransferase
KHAGGBBM_00167	gene	270	yihD			
KHAGGBBM_00167	CDS	270	yihD		COG3084	Protein YihD
KHAGGBBM_00168	gene	987	srkA			
KHAGGBBM_00168	CDS	987	srkA	2.7.11.1	COG2334	Stress response kinase A
KHAGGBBM_00169	gene	624	dsbA_1			
KHAGGBBM_00169	CDS	624	dsbA_1		COG0526	Thiol:disulfide interchange protein DsbA
KHAGGBBM_00170	gene	900	yihG			
KHAGGBBM_00170	CDS	900	yihG	2.3.-.-	COG0204	putative acyltransferase YihG
KHAGGBBM_00171	gene	2793	polA			
KHAGGBBM_00171	CDS	2793	polA	2.7.7.7	COG0258	DNA polymerase I
KHAGGBBM_00172	gene	633	engB			
KHAGGBBM_00172	CDS	633	engB		COG0218	putative GTP-binding protein EngB
KHAGGBBM_00173	gene	507	yihI			
KHAGGBBM_00173	CDS	507	yihI		COG3078	Der GTPase-activating protein YihI
KHAGGBBM_00174	gene	1374	hemN			
KHAGGBBM_00174	CDS	1374	hemN	1.3.98.3	COG0635	Oxygen-independent coproporphyrinogen III oxidase
KHAGGBBM_00175	gene	111	yshB			
KHAGGBBM_00175	CDS	111	yshB			putative protein YshB
KHAGGBBM_00176	gene	1410	ntrC			
KHAGGBBM_00176	CDS	1410	ntrC		COG2204	DNA-binding transcriptional regulator NtrC
KHAGGBBM_00177	gene	1050	glnL			
KHAGGBBM_00177	CDS	1050	glnL	2.7.13.3	COG3852	Sensory histidine kinase/phosphatase NtrB
KHAGGBBM_00178	gene	1410	glnA			
KHAGGBBM_00178	CDS	1410	glnA	6.3.1.2	COG0174	Glutamine synthetase
KHAGGBBM_00179	gene	1824	typA			
KHAGGBBM_00179	CDS	1824	typA		COG1217	GTP-binding protein TypA/BipA
KHAGGBBM_00180	gene	600	yihX			
KHAGGBBM_00180	CDS	600	yihX	3.1.3.10	COG1011	Alpha-D-glucose 1-phosphate phosphatase YihX
KHAGGBBM_00181	gene	861				
KHAGGBBM_00181	CDS	861				hypothetical protein
KHAGGBBM_00182	gene	438	dtd			
KHAGGBBM_00182	CDS	438	dtd	3.1.1.96	COG1490	D-aminoacyl-tRNA deacylase
KHAGGBBM_00183	gene	942				
KHAGGBBM_00183	CDS	942				hypothetical protein
KHAGGBBM_00184	gene	918	nlhH			
KHAGGBBM_00184	CDS	918	nlhH	3.1.1.1	COG0657	Carboxylesterase NlhH
KHAGGBBM_00185	gene	249				
KHAGGBBM_00185	CDS	249				hypothetical protein
KHAGGBBM_00186	gene	384	vapC_1			
KHAGGBBM_00186	CDS	384	vapC_1	3.1.-.-		tRNA(fMet)-specific endonuclease VapC
KHAGGBBM_00187	gene	930	fdhE			
KHAGGBBM_00187	CDS	930	fdhE		COG3058	Protein FdhE
KHAGGBBM_00188	gene	636	fdoI			
KHAGGBBM_00188	CDS	636	fdoI		COG2864	Formate dehydrogenase, cytochrome b556(fdo) subunit
KHAGGBBM_00189	gene	903	fdoH			
KHAGGBBM_00189	CDS	903	fdoH		COG0437	Formate dehydrogenase-O iron-sulfur subunit
KHAGGBBM_00190	gene	2415	fdoG_1			
KHAGGBBM_00190	CDS	2415	fdoG_1	1.17.1.9	COG0243	Formate dehydrogenase-O major subunit
KHAGGBBM_00191	gene	588	fdoG_2			
KHAGGBBM_00191	CDS	588	fdoG_2	1.17.1.9	COG0243	Formate dehydrogenase-O major subunit
KHAGGBBM_00192	gene	837	fdhD			
KHAGGBBM_00192	CDS	837	fdhD		COG1526	Sulfur carrier protein FdhD
KHAGGBBM_00193	gene	213				
KHAGGBBM_00193	CDS	213				hypothetical protein
KHAGGBBM_00194	gene	324				
KHAGGBBM_00194	CDS	324				hypothetical protein
KHAGGBBM_00195	gene	702				
KHAGGBBM_00195	CDS	702				hypothetical protein
KHAGGBBM_00196	gene	549	sutR_1			
KHAGGBBM_00196	CDS	549	sutR_1		COG1396	HTH-type transcriptional regulator SutR
KHAGGBBM_00197	gene	996	rafR			
KHAGGBBM_00197	CDS	996	rafR			HTH-type transcriptional regulator RafR
KHAGGBBM_00198	gene	2124	rafA			
KHAGGBBM_00198	CDS	2124	rafA	3.2.1.22		Alpha-galactosidase
KHAGGBBM_00199	gene	1266	melY			
KHAGGBBM_00199	CDS	1266	melY			Melibiose permease
KHAGGBBM_00200	gene	315	rhaM			
KHAGGBBM_00200	CDS	315	rhaM	5.1.3.32	COG3254	L-rhamnose mutarotase
KHAGGBBM_00201	gene	1149	adhB			
KHAGGBBM_00201	CDS	1149	adhB	1.1.1.1		Alcohol dehydrogenase 2
KHAGGBBM_00202	gene	1005	lsrD_1			
KHAGGBBM_00202	CDS	1005	lsrD_1			Autoinducer 2 import system permease protein LsrD
KHAGGBBM_00203	gene	1008	rbsC_2			
KHAGGBBM_00203	CDS	1008	rbsC_2		COG1172	Ribose import permease protein RbsC
KHAGGBBM_00204	gene	1512	rbsA_2			
KHAGGBBM_00204	CDS	1512	rbsA_2	7.5.2.7	COG1129	Ribose import ATP-binding protein RbsA
KHAGGBBM_00205	gene	987	lsrB_1			
KHAGGBBM_00205	CDS	987	lsrB_1			Autoinducer 2-binding protein LsrB
KHAGGBBM_00206	gene	831	rhaD			
KHAGGBBM_00206	CDS	831	rhaD	4.1.2.19	COG0235	Rhamnulose-1-phosphate aldolase
KHAGGBBM_00207	gene	1260	rhaA			
KHAGGBBM_00207	CDS	1260	rhaA	5.3.1.14	COG4806	L-rhamnose isomerase
KHAGGBBM_00208	gene	1467	rhaB			
KHAGGBBM_00208	CDS	1467	rhaB	2.7.1.5	COG1070	L-Rhamnulokinase
KHAGGBBM_00209	gene	837	rhaS_1			
KHAGGBBM_00209	CDS	837	rhaS_1			HTH-type transcriptional activator RhaS
KHAGGBBM_00210	gene	846	rhaR_1			
KHAGGBBM_00210	CDS	846	rhaR_1			HTH-type transcriptional activator RhaR
KHAGGBBM_00211	gene	1035	rhaT			
KHAGGBBM_00211	CDS	1035	rhaT		COG0697	L-rhamnose-proton symporter
KHAGGBBM_00212	gene	621	sodA			
KHAGGBBM_00212	CDS	621	sodA	1.15.1.1	COG0605	Superoxide dismutase [Mn]
KHAGGBBM_00213	gene	675	yiiM			
KHAGGBBM_00213	CDS	675	yiiM		COG2258	Protein YiiM
KHAGGBBM_00214	gene	1374	cpxA			
KHAGGBBM_00214	CDS	1374	cpxA	2.7.13.3		Sensor histidine kinase CpxA
KHAGGBBM_00215	gene	699	cpxR			
KHAGGBBM_00215	CDS	699	cpxR		COG0745	Transcriptional regulatory protein CpxR
KHAGGBBM_00216	gene	504	cpxP			
